[2026-08-29 13:36:38] PDB files: 197
[2026-08-29 13:36:40] A0A140D2T1_ZIKV_Sourisseau_2019 (A0A140D2T1_ZIKV): mapped 504/3423 residues, pass_rate=0.15, median_plddt=88.9
[2026-08-29 13:36:51] BLAT_ECOLX_Firnberg_2014 (BLAT_ECOLX): mapped 286/286 residues, pass_rate=1.00, median_plddt=98.7
[2026-08-29 13:36:51] BLAT_ECOLX_Jacquier_2013 (BLAT_ECOLX): mapped 286/286 residues, pass_rate=1.00, median_plddt=98.7
[2026-08-29 13:36:51] BLAT_ECOLX_Stiffler_2015 (BLAT_ECOLX): mapped 286/286 residues, pass_rate=1.00, median_plddt=98.7
[2026-08-29 13:36:54] BRCA1_HUMAN_Findlay_2018 (BRCA1_HUMAN): mapped 1863/1863 residues, pass_rate=1.00, median_plddt=91.0
[2026-08-29 13:37:00] BRCA2_HUMAN_Erwood_2022_HEK293T (BRCA2_HUMAN): mapped 2832/3418 residues, pass_rate=0.83, median_plddt=87.0
[2026-08-29 13:37:01] C6KNH7_9INFA_Lee_2018 (C6KNH7_9INFA): mapped 566/566 residues, pass_rate=1.00, median_plddt=93.6
[2026-08-29 13:37:01] CALM1_HUMAN_Weile_2017 (CALM1_HUMAN): mapped 149/149 residues, pass_rate=1.00, median_plddt=84.0
[2026-08-29 13:37:02] CAPSD_AAV2S_Sinai_2021 (CAPSD_AAV2S): mapped 735/735 residues, pass_rate=1.00, median_plddt=98.6
[2026-08-29 13:37:03] CAR11_HUMAN_Meitlis_2020_gof (CAR11_HUMAN): mapped 1154/1154 residues, pass_rate=1.00, median_plddt=87.6
[2026-08-29 13:37:03] CAR11_HUMAN_Meitlis_2020_lof (CAR11_HUMAN): mapped 1154/1154 residues, pass_rate=1.00, median_plddt=87.5
[2026-08-29 13:37:03] CAS9_STRP1_Spencer_2017_positive (CAS9_STRP1): mapped 1368/1368 residues, pass_rate=1.00, median_plddt=91.9
[2026-08-29 13:37:03] CASP3_HUMAN_Roychowdhury_2020 (CASP3_HUMAN): mapped 258/258 residues, pass_rate=1.00, median_plddt=93.8
[2026-08-29 13:37:03] CASP7_HUMAN_Roychowdhury_2020 (CASP7_HUMAN): mapped 281/281 residues, pass_rate=1.00, median_plddt=95.1
[2026-08-29 13:37:03] CATR_CHLRE_Tsuboyama_2023_2AMI (CATR_CHLRE): mapped 72/72 residues, pass_rate=1.00, median_plddt=93.5
[2026-08-29 13:37:03] CBPA2_HUMAN_Tsuboyama_2023_1O6X (CBPA2_HUMAN): mapped 72/72 residues, pass_rate=1.00, median_plddt=91.1
[2026-08-29 13:37:03] CBS_HUMAN_Sun_2020 (CBS_HUMAN): mapped 551/551 residues, pass_rate=1.00, median_plddt=94.9
[2026-08-29 13:37:03] CBX4_HUMAN_Tsuboyama_2023_2K28 (CBX4_HUMAN): mapped 50/50 residues, pass_rate=1.00, median_plddt=90.1
[2026-08-29 13:37:03] CCDB_ECOLI_Adkar_2012 (CCDB_ECOLI): mapped 101/101 residues, pass_rate=1.00, median_plddt=97.1
[2026-08-29 13:37:03] CCDB_ECOLI_Tripathi_2016 (CCDB_ECOLI): mapped 101/101 residues, pass_rate=1.00, median_plddt=97.1
[2026-08-29 13:37:03] CCR5_HUMAN_Gill_2023 (CCR5_HUMAN): mapped 352/352 residues, pass_rate=1.00, median_plddt=93.9
[2026-08-29 13:37:03] CD19_HUMAN_Klesmith_2019_FMC_singles (CD19_HUMAN): mapped 556/556 residues, pass_rate=1.00, median_plddt=88.8
[2026-08-29 13:37:03] CP2C9_HUMAN_Amorosi_2021_abundance (CP2C9_HUMAN): mapped 490/490 residues, pass_rate=1.00, median_plddt=97.1
[2026-08-29 13:37:03] CP2C9_HUMAN_Amorosi_2021_activity (CP2C9_HUMAN): mapped 490/490 residues, pass_rate=1.00, median_plddt=97.2
[2026-08-29 13:37:03] CSN4_MOUSE_Tsuboyama_2023_1UFM (CSN4_MOUSE): mapped 72/72 residues, pass_rate=1.00, median_plddt=97.0
[2026-08-29 13:37:03] CUE1_YEAST_Tsuboyama_2023_2MYX (CUE1_YEAST): mapped 52/52 residues, pass_rate=1.00, median_plddt=97.5
[2026-08-29 13:37:03] D7PM05_CLYGR_Somermeyer_2022 (D7PM05_CLYGR): mapped 235/235 residues, pass_rate=1.00, median_plddt=98.3
[2026-08-29 13:37:03] DLG4_HUMAN_Faure_2021 (DLG4_HUMAN): mapped 724/724 residues, pass_rate=1.00, median_plddt=92.2
[2026-08-29 13:37:03] DLG4_RAT_McLaughlin_2012 (DLG4_RAT): mapped 724/724 residues, pass_rate=1.00, median_plddt=92.2
[2026-08-29 13:37:03] DN7A_SACS2_Tsuboyama_2023_1JIC (DN7A_SACS2): mapped 55/55 residues, pass_rate=1.00, median_plddt=86.2
[2026-08-29 13:37:03] DNJA1_HUMAN_Tsuboyama_2023_2LO1 (DNJA1_HUMAN): mapped 65/65 residues, pass_rate=1.00, median_plddt=87.9
[2026-08-29 13:37:03] DOCK1_MOUSE_Tsuboyama_2023_2M0Y (DOCK1_MOUSE): mapped 66/66 residues, pass_rate=1.00, median_plddt=91.8
[2026-08-29 13:37:03] DYR_ECOLI_Nguyen_2023 (DYR_ECOLI): mapped 159/159 residues, pass_rate=1.00, median_plddt=97.4
[2026-08-29 13:37:03] DYR_ECOLI_Thompson_2019 (DYR_ECOLI): mapped 159/159 residues, pass_rate=1.00, median_plddt=97.3
[2026-08-29 13:37:03] ENVZ_ECOLI_Ghose_2023 (ENVZ_ECOLI): mapped 60/60 residues, pass_rate=1.00, median_plddt=93.6
[2026-08-29 13:37:03] ENV_HV1B9_DuenasDecamp_2016 (ENV_HV1B9): mapped 853/853 residues, pass_rate=1.00, median_plddt=90.5
[2026-08-29 13:37:04] ENV_HV1BR_Haddox_2016 (ENV_HV1BR): mapped 861/861 residues, pass_rate=1.00, median_plddt=87.0
[2026-08-29 13:37:04] EPHB2_HUMAN_Tsuboyama_2023_1F0M (EPHB2_HUMAN): mapped 66/66 residues, pass_rate=1.00, median_plddt=98.0
[2026-08-29 13:37:04] ERBB2_HUMAN_Elazar_2016 (ERBB2_HUMAN): mapped 1255/1255 residues, pass_rate=1.00, median_plddt=79.1
[2026-08-29 13:37:04] ESTA_BACSU_Nutschel_2020 (ESTA_BACSU): mapped 212/212 residues, pass_rate=1.00, median_plddt=98.6
[2026-08-29 13:37:04] F7YBW8_MESOW_Aakre_2015 (F7YBW8_MESOW): mapped 93/93 residues, pass_rate=1.00, median_plddt=97.2
[2026-08-29 13:37:04] F7YBW8_MESOW_Ding_2023 (F7YBW8_MESOW): mapped 93/93 residues, pass_rate=1.00, median_plddt=93.5
[2026-08-29 13:37:04] FECA_ECOLI_Tsuboyama_2023_2D1U (FECA_ECOLI): mapped 72/72 residues, pass_rate=1.00, median_plddt=92.1
[2026-08-29 13:37:04] FKBP3_HUMAN_Tsuboyama_2023_2KFV (FKBP3_HUMAN): mapped 69/69 residues, pass_rate=1.00, median_plddt=90.3
[2026-08-29 13:37:04] GAL4_YEAST_Kitzman_2015 (GAL4_YEAST): mapped 881/881 residues, pass_rate=1.00, median_plddt=86.3
[2026-08-29 13:37:04] GCN4_YEAST_Staller_2018 (GCN4_YEAST): mapped 281/281 residues, pass_rate=1.00, median_plddt=61.3
[2026-08-29 13:37:04] GDIA_HUMAN_Silverstein_2021 (GDIA_HUMAN): mapped 447/447 residues, pass_rate=1.00, median_plddt=95.2
[2026-08-29 13:37:04] GFP_AEQVI_Sarkisyan_2016 (GFP_AEQVI): mapped 238/238 residues, pass_rate=1.00, median_plddt=98.4
[2026-08-29 13:37:04] GLPA_HUMAN_Elazar_2016 (GLPA_HUMAN): mapped 150/150 residues, pass_rate=1.00, median_plddt=89.5
[2026-08-29 13:37:04] GRB2_HUMAN_Faure_2021 (GRB2_HUMAN): mapped 217/217 residues, pass_rate=1.00, median_plddt=91.6
[2026-08-29 13:37:04] HCP_LAMBD_Tsuboyama_2023_2L6Q (HCP_LAMBD): mapped 55/55 residues, pass_rate=1.00, median_plddt=88.0
[2026-08-29 13:37:04] HECD1_HUMAN_Tsuboyama_2023_3DKM (HECD1_HUMAN): mapped 72/72 residues, pass_rate=1.00, median_plddt=97.5
[2026-08-29 13:37:04] HEM3_HUMAN_Loggerenberg_2023 (HEM3_HUMAN): mapped 361/361 residues, pass_rate=1.00, median_plddt=97.2
[2026-08-29 13:37:04] HIS7_YEAST_Pokusaeva_2019 (HIS7_YEAST): mapped 220/220 residues, pass_rate=1.00, median_plddt=98.3
[2026-08-29 13:37:04] HMDH_HUMAN_Jiang_2019 (HMDH_HUMAN): mapped 888/888 residues, pass_rate=1.00, median_plddt=87.9
[2026-08-29 13:37:04] HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2 (HSP82_YEAST): mapped 709/709 residues, pass_rate=1.00, median_plddt=89.8
[2026-08-29 13:37:04] HSP82_YEAST_Flynn_2019 (HSP82_YEAST): mapped 709/709 residues, pass_rate=1.00, median_plddt=91.6
[2026-08-29 13:37:04] HSP82_YEAST_Mishra_2016 (HSP82_YEAST): mapped 709/709 residues, pass_rate=1.00, median_plddt=90.5
[2026-08-29 13:37:04] HXK4_HUMAN_Gersing_2022_activity (HXK4_HUMAN): mapped 465/465 residues, pass_rate=1.00, median_plddt=95.3
[2026-08-29 13:37:04] HXK4_HUMAN_Gersing_2023_abundance (HXK4_HUMAN): mapped 465/465 residues, pass_rate=1.00, median_plddt=95.3
[2026-08-29 13:37:04] I6TAH8_I68A0_Doud_2015 (I6TAH8_I68A0): mapped 498/498 residues, pass_rate=1.00, median_plddt=94.1
[2026-08-29 13:37:04] IF1_ECOLI_Kelsic_2016 (IF1_ECOLI): mapped 72/72 residues, pass_rate=1.00, median_plddt=89.0
[2026-08-29 13:37:04] ILF3_HUMAN_Tsuboyama_2023_2L33 (ILF3_HUMAN): mapped 71/71 residues, pass_rate=1.00, median_plddt=95.7
[2026-08-29 13:37:04] ISDH_STAAW_Tsuboyama_2023_2LHR (ISDH_STAAW): mapped 55/55 residues, pass_rate=1.00, median_plddt=93.3
[2026-08-29 13:37:04] KCNE1_HUMAN_Muhammad_2023_expression (KCNE1_HUMAN): mapped 129/129 residues, pass_rate=1.00, median_plddt=66.6
[2026-08-29 13:37:04] KCNE1_HUMAN_Muhammad_2023_function (KCNE1_HUMAN): mapped 129/129 residues, pass_rate=1.00, median_plddt=66.6
[2026-08-29 13:37:04] KCNH2_HUMAN_Kozek_2020 (KCNH2_HUMAN): mapped 1159/1159 residues, pass_rate=1.00, median_plddt=82.6
[2026-08-29 13:37:04] KCNJ2_MOUSE_Coyote-Maestas_2022_function (KCNJ2_MOUSE): mapped 428/428 residues, pass_rate=1.00, median_plddt=93.4
[2026-08-29 13:37:04] KCNJ2_MOUSE_Coyote-Maestas_2022_surface (KCNJ2_MOUSE): mapped 428/428 residues, pass_rate=1.00, median_plddt=93.3
[2026-08-29 13:37:04] KKA2_KLEPN_Melnikov_2014 (KKA2_KLEPN): mapped 264/264 residues, pass_rate=1.00, median_plddt=97.1
[2026-08-29 13:37:04] LGK_LIPST_Klesmith_2015 (LGK_LIPST): mapped 439/439 residues, pass_rate=1.00, median_plddt=98.7
[2026-08-29 13:37:04] LYAM1_HUMAN_Elazar_2016 (LYAM1_HUMAN): mapped 372/372 residues, pass_rate=1.00, median_plddt=75.3
[2026-08-29 13:37:04] MAFG_MOUSE_Tsuboyama_2023_1K1V (MAFG_MOUSE): mapped 41/41 residues, pass_rate=1.00, median_plddt=93.6
[2026-08-29 13:37:04] MBD11_ARATH_Tsuboyama_2023_6ACV (MBD11_ARATH): mapped 66/66 residues, pass_rate=1.00, median_plddt=85.4
[2026-08-29 13:37:04] MET_HUMAN_Estevam_2023 (MET_HUMAN): mapped 287/287 residues, pass_rate=1.00, median_plddt=95.3
[2026-08-29 13:37:04] MK01_HUMAN_Brenan_2016 (MK01_HUMAN): mapped 360/360 residues, pass_rate=1.00, median_plddt=94.6
[2026-08-29 13:37:04] MLAC_ECOLI_MacRae_2023 (MLAC_ECOLI): mapped 211/211 residues, pass_rate=1.00, median_plddt=97.5
[2026-08-29 13:37:04] MSH2_HUMAN_Jia_2020 (MSH2_HUMAN): mapped 934/934 residues, pass_rate=1.00, median_plddt=86.7
[2026-08-29 13:37:04] MTH3_HAEAE_RockahShmuel_2015 (MTH3_HAEAE): mapped 330/330 residues, pass_rate=1.00, median_plddt=98.0
[2026-08-29 13:37:04] MTHR_HUMAN_Weile_2021 (MTHR_HUMAN): mapped 656/656 residues, pass_rate=1.00, median_plddt=95.3
[2026-08-29 13:37:04] MYO3_YEAST_Tsuboyama_2023_2BTT (MYO3_YEAST): mapped 61/61 residues, pass_rate=1.00, median_plddt=97.7
[2026-08-29 13:37:04] NCAP_I34A1_Doud_2015 (NCAP_I34A1): mapped 498/498 residues, pass_rate=1.00, median_plddt=93.9
[2026-08-29 13:37:04] NKX31_HUMAN_Tsuboyama_2023_2L9R (NKX31_HUMAN): mapped 61/61 residues, pass_rate=1.00, median_plddt=96.0
[2026-08-29 13:37:04] NPC1_HUMAN_Erwood_2022_HEK293T (NPC1_HUMAN): mapped 1278/1278 residues, pass_rate=1.00, median_plddt=90.3
[2026-08-29 13:37:04] NPC1_HUMAN_Erwood_2022_RPE1 (NPC1_HUMAN): mapped 1278/1278 residues, pass_rate=1.00, median_plddt=87.0
[2026-08-29 13:37:04] NRAM_I33A0_Jiang_2016 (NRAM_I33A0): mapped 453/453 residues, pass_rate=1.00, median_plddt=98.8
[2026-08-29 13:37:04] NUD15_HUMAN_Suiter_2020 (NUD15_HUMAN): mapped 164/164 residues, pass_rate=1.00, median_plddt=96.5
[2026-08-29 13:37:04] NUSA_ECOLI_Tsuboyama_2023_1WCL (NUSA_ECOLI): mapped 69/69 residues, pass_rate=1.00, median_plddt=92.8
[2026-08-29 13:37:04] NUSG_MYCTU_Tsuboyama_2023_2MI6 (NUSG_MYCTU): mapped 55/55 residues, pass_rate=1.00, median_plddt=91.1
[2026-08-29 13:37:04] OBSCN_HUMAN_Tsuboyama_2023_1V1C (OBSCN_HUMAN): mapped 65/65 residues, pass_rate=1.00, median_plddt=92.9
[2026-08-29 13:37:04] ODP2_GEOSE_Tsuboyama_2023_1W4G (ODP2_GEOSE): mapped 44/44 residues, pass_rate=1.00, median_plddt=93.8
[2026-08-29 13:37:04] OPSD_HUMAN_Wan_2019 (OPSD_HUMAN): mapped 348/348 residues, pass_rate=1.00, median_plddt=96.5
[2026-08-29 13:37:04] OTC_HUMAN_Lo_2023 (OTC_HUMAN): mapped 354/354 residues, pass_rate=1.00, median_plddt=98.6
[2026-08-29 13:37:04] OTU7A_HUMAN_Tsuboyama_2023_2L2D (OTU7A_HUMAN): mapped 42/42 residues, pass_rate=1.00, median_plddt=92.0
[2026-08-29 13:37:04] OXDA_RHOTO_Vanella_2023_activity (OXDA_RHOTO): mapped 364/364 residues, pass_rate=1.00, median_plddt=97.1
[2026-08-29 13:37:04] OXDA_RHOTO_Vanella_2023_expression (OXDA_RHOTO): mapped 364/364 residues, pass_rate=1.00, median_plddt=97.1
[2026-08-29 13:37:04] P53_HUMAN_Giacomelli_2018_Null_Etoposide (P53_HUMAN): mapped 393/393 residues, pass_rate=1.00, median_plddt=92.6
[2026-08-29 13:37:04] P53_HUMAN_Giacomelli_2018_Null_Nutlin (P53_HUMAN): mapped 393/393 residues, pass_rate=1.00, median_plddt=92.6
[2026-08-29 13:37:04] P53_HUMAN_Giacomelli_2018_WT_Nutlin (P53_HUMAN): mapped 393/393 residues, pass_rate=1.00, median_plddt=92.6
[2026-08-29 13:37:04] P53_HUMAN_Kotler_2018 (P53_HUMAN): mapped 393/393 residues, pass_rate=1.00, median_plddt=97.3
[2026-08-29 13:37:04] P84126_THETH_Chan_2017 (P84126_THETH): mapped 254/254 residues, pass_rate=1.00, median_plddt=98.1
[2026-08-29 13:37:04] PABP_YEAST_Melamed_2013 (PABP_YEAST): mapped 577/577 residues, pass_rate=1.00, median_plddt=94.5
[2026-08-29 13:37:04] PAI1_HUMAN_Huttinger_2021 (PAI1_HUMAN): mapped 402/402 residues, pass_rate=1.00, median_plddt=93.3
[2026-08-29 13:37:04] PA_I34A1_Wu_2015 (PA_I34A1): mapped 716/716 residues, pass_rate=1.00, median_plddt=94.3
[2026-08-29 13:37:04] PHOT_CHLRE_Chen_2023 (PHOT_CHLRE): mapped 118/118 residues, pass_rate=1.00, median_plddt=97.5
[2026-08-29 13:37:04] PIN1_HUMAN_Tsuboyama_2023_1I6C (PIN1_HUMAN): mapped 39/39 residues, pass_rate=1.00, median_plddt=92.8
[2026-08-29 13:37:04] PITX2_HUMAN_Tsuboyama_2023_2L7M (PITX2_HUMAN): mapped 52/52 residues, pass_rate=1.00, median_plddt=97.2
[2026-08-29 13:37:04] PKN1_HUMAN_Tsuboyama_2023_1URF (PKN1_HUMAN): mapped 71/71 residues, pass_rate=1.00, median_plddt=96.5
[2026-08-29 13:37:04] POLG_CXB3N_Mattenberger_2021 (POLG_CXB3N): mapped 2185/2185 residues, pass_rate=1.00, median_plddt=75.8
[2026-08-29 13:37:04] POLG_DEN26_Suphatrakul_2023 (POLG_DEN26): mapped 900/900 residues, pass_rate=1.00, median_plddt=96.4
[2026-08-29 13:37:04] POLG_HCVJF_Qi_2014 (POLG_HCVJF): mapped 244/3033 residues, pass_rate=0.08, median_plddt=nan
[2026-08-29 13:37:04] POLG_PESV_Tsuboyama_2023_2MXD (POLG_PESV): mapped 53/53 residues, pass_rate=1.00, median_plddt=95.0
[2026-08-29 13:37:04] PPARG_HUMAN_Majithia_2016 (PPARG_HUMAN): mapped 505/505 residues, pass_rate=1.00, median_plddt=92.5
[2026-08-29 13:37:04] PPM1D_HUMAN_Miller_2022 (PPM1D_HUMAN): mapped 605/605 residues, pass_rate=1.00, median_plddt=95.3
[2026-08-29 13:37:04] PR40A_HUMAN_Tsuboyama_2023_1UZC (PR40A_HUMAN): mapped 63/63 residues, pass_rate=1.00, median_plddt=85.6
[2026-08-29 13:37:04] PRKN_HUMAN_Clausen_2023 (PRKN_HUMAN): mapped 465/465 residues, pass_rate=1.00, median_plddt=88.5
[2026-08-29 13:37:04] PSAE_PICP2_Tsuboyama_2023_1PSE (PSAE_PICP2): mapped 68/68 residues, pass_rate=1.00, median_plddt=94.5
[2026-08-29 13:37:04] PTEN_HUMAN_Matreyek_2021 (PTEN_HUMAN): mapped 403/403 residues, pass_rate=1.00, median_plddt=95.5
[2026-08-29 13:37:04] PTEN_HUMAN_Mighell_2018 (PTEN_HUMAN): mapped 403/403 residues, pass_rate=1.00, median_plddt=95.7
[2026-08-29 13:37:04] Q2N0S5_9HIV1_Haddox_2018 (Q2N0S5_9HIV1): mapped 860/860 residues, pass_rate=1.00, median_plddt=90.9
[2026-08-29 13:37:04] Q53Z42_HUMAN_McShan_2019_binding-TAPBPR (Q53Z42_HUMAN): mapped 365/365 residues, pass_rate=1.00, median_plddt=98.3
[2026-08-29 13:37:04] Q53Z42_HUMAN_McShan_2019_expression (Q53Z42_HUMAN): mapped 365/365 residues, pass_rate=1.00, median_plddt=98.3
[2026-08-29 13:37:04] Q59976_STRSQ_Romero_2015 (Q59976_STRSQ): mapped 501/501 residues, pass_rate=1.00, median_plddt=98.7
[2026-08-29 13:37:04] Q6WV12_9MAXI_Somermeyer_2022 (Q6WV12_9MAXI): mapped 222/222 residues, pass_rate=1.00, median_plddt=98.3
[2026-08-29 13:37:04] Q837P4_ENTFA_Meier_2023 (Q837P4_ENTFA): mapped 589/589 residues, pass_rate=1.00, median_plddt=89.7
[2026-08-29 13:37:04] Q837P5_ENTFA_Meier_2023 (Q837P5_ENTFA): mapped 571/571 residues, pass_rate=1.00, median_plddt=90.4
[2026-08-29 13:37:04] Q8WTC7_9CNID_Somermeyer_2022 (Q8WTC7_9CNID): mapped 238/238 residues, pass_rate=1.00, median_plddt=98.0
[2026-08-29 13:37:04] R1AB_SARS2_Flynn_2022 (R1AB_SARS2): mapped 306/306 residues, pass_rate=1.00, median_plddt=97.3
[2026-08-29 13:37:04] RAD_ANTMA_Tsuboyama_2023_2CJJ (RAD_ANTMA): mapped 54/54 residues, pass_rate=1.00, median_plddt=96.8
[2026-08-29 13:37:04] RAF1_HUMAN_Zinkus-Boltz_2019 (RAF1_HUMAN): mapped 648/648 residues, pass_rate=1.00, median_plddt=85.5
[2026-08-29 13:37:04] RASH_HUMAN_Bandaru_2017 (RASH_HUMAN): mapped 189/189 residues, pass_rate=1.00, median_plddt=96.8
[2026-08-29 13:37:04] RASK_HUMAN_Weng_2022_abundance (RASK_HUMAN): mapped 188/188 residues, pass_rate=1.00, median_plddt=96.9
[2026-08-29 13:37:04] RASK_HUMAN_Weng_2022_binding-DARPin_K55 (RASK_HUMAN): mapped 188/188 residues, pass_rate=1.00, median_plddt=96.9
[2026-08-29 13:37:04] RBP1_HUMAN_Tsuboyama_2023_2KWH (RBP1_HUMAN): mapped 52/52 residues, pass_rate=1.00, median_plddt=88.0
[2026-08-29 13:37:04] RCD1_ARATH_Tsuboyama_2023_5OAO (RCD1_ARATH): mapped 57/57 residues, pass_rate=1.00, median_plddt=88.2
[2026-08-29 13:37:04] RCRO_LAMBD_Tsuboyama_2023_1ORC (RCRO_LAMBD): mapped 63/63 residues, pass_rate=1.00, median_plddt=97.7
[2026-08-29 13:37:04] RD23A_HUMAN_Tsuboyama_2023_1IFY (RD23A_HUMAN): mapped 44/44 residues, pass_rate=1.00, median_plddt=90.1
[2026-08-29 13:37:04] RDRP_I33A0_Li_2023 (RDRP_I33A0): mapped 757/757 residues, pass_rate=1.00, median_plddt=91.0
[2026-08-29 13:37:04] REV_HV1H2_Fernandes_2016 (REV_HV1H2): mapped 116/116 residues, pass_rate=1.00, median_plddt=77.2
[2026-08-29 13:37:04] RFAH_ECOLI_Tsuboyama_2023_2LCL (RFAH_ECOLI): mapped 55/55 residues, pass_rate=1.00, median_plddt=88.5
[2026-08-29 13:37:04] RL20_AQUAE_Tsuboyama_2023_1GYZ (RL20_AQUAE): mapped 59/59 residues, pass_rate=1.00, median_plddt=87.6
[2026-08-29 13:37:04] RL40A_YEAST_Mavor_2016 (RL40A_YEAST): mapped 128/128 residues, pass_rate=1.00, median_plddt=93.1
[2026-08-29 13:37:04] RL40A_YEAST_Roscoe_2013 (RL40A_YEAST): mapped 128/128 residues, pass_rate=1.00, median_plddt=93.1
[2026-08-29 13:37:04] RL40A_YEAST_Roscoe_2014 (RL40A_YEAST): mapped 128/128 residues, pass_rate=1.00, median_plddt=93.1
[2026-08-29 13:37:04] RNC_ECOLI_Weeks_2023 (RNC_ECOLI): mapped 226/226 residues, pass_rate=1.00, median_plddt=96.5
[2026-08-29 13:37:04] RPC1_BP434_Tsuboyama_2023_1R69 (RPC1_BP434): mapped 61/61 residues, pass_rate=1.00, median_plddt=98.2
[2026-08-29 13:37:04] RPC1_LAMBD_Li_2019_high-expression (RPC1_LAMBD): mapped 237/237 residues, pass_rate=1.00, median_plddt=95.8
[2026-08-29 13:37:04] RPC1_LAMBD_Li_2019_low-expression (RPC1_LAMBD): mapped 237/237 residues, pass_rate=1.00, median_plddt=95.8
[2026-08-29 13:37:04] RS15_GEOSE_Tsuboyama_2023_1A32 (RS15_GEOSE): mapped 63/63 residues, pass_rate=1.00, median_plddt=97.7
[2026-08-29 13:37:04] S22A1_HUMAN_Yee_2023_abundance (S22A1_HUMAN): mapped 553/553 residues, pass_rate=1.00, median_plddt=86.2
[2026-08-29 13:37:05] S22A1_HUMAN_Yee_2023_activity (S22A1_HUMAN): mapped 553/553 residues, pass_rate=1.00, median_plddt=86.4
[2026-08-29 13:37:05] SAV1_MOUSE_Tsuboyama_2023_2YSB (SAV1_MOUSE): mapped 43/43 residues, pass_rate=1.00, median_plddt=92.0
[2026-08-29 13:37:05] SBI_STAAM_Tsuboyama_2023_2JVG (SBI_STAAM): mapped 56/56 residues, pass_rate=1.00, median_plddt=94.8
[2026-08-29 13:37:05] SC6A4_HUMAN_Young_2021 (SC6A4_HUMAN): mapped 630/630 residues, pass_rate=1.00, median_plddt=93.5
[2026-08-29 13:37:05] SCIN_STAAR_Tsuboyama_2023_2QFF (SCIN_STAAR): mapped 70/70 residues, pass_rate=1.00, median_plddt=97.0
