DMS_id,UniProt_ID,taxon,selection_type,n_variants,n_single_mutants,sequence_length,MSA_depth,has_scores
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,Prokaryote,cDNA display proteolysis,1287,1287,69,,True
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,Human,FACS,170,170,198,,True
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,Eukaryote,cDNA display proteolysis,2069,1084,64,,True
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Prokaryote,cDNA display proteolysis,1572,890,52,,True
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,Prokaryote,Amp resistance,4996,4996,286,,True
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,Prokaryote,Growth,4783,4783,286,,True
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,Prokaryote,Amoxicillin resistance,989,989,286,,True
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,Prokaryote,Growth,4996,4996,286,,True
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,Human,Growth,1837,1837,1863,,True
BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,Human,Growth,265,265,3418,,True
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,Virus,Growth,10754,10754,566,,True
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,Human,complementation,1813,1813,149,,True
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,Virus,,42328,532,735,,True
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Human,survival assessment assay,2374,2374,1154,,True
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Human,survival assessment assay,2395,2395,1154,,True
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Prokaryote,Flow cytometry,8117,8117,1368,,True
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,Human,,1567,1567,258,,True
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,Human,,1680,1680,281,,True
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,Eukaryote,cDNA display proteolysis,1903,1340,72,,True
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,Human,cDNA display proteolysis,2068,1357,72,,True
CBS_HUMAN_Sun_2020,CBS_HUMAN,Human,Growth,7217,7217,551,,True
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,Human,cDNA display proteolysis,2282,917,50,,True
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,Prokaryote,toxin activity,1176,1176,101,,True
CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,Prokaryote,Growth,1663,1663,101,,True
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,Human,FACS,6137,6137,352,,True
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,Human,FACS,3761,3761,556,,True
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,Human,protein abundance,6370,6370,490,,True
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,Human,"Activity, binding",6142,6142,490,,True
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Eukaryote,cDNA display proteolysis,3295,1353,72,,True
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,Eukaryote,cDNA display proteolysis,1580,955,52,,True
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,Eukaryote,FACS,24515,1169,235,,True
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,Human,Growth,6976,1280,724,,True
DLG4_RAT_McLaughlin_2012,DLG4_RAT,Eukaryote,Binding,1576,1576,724,,True
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,Prokaryote,cDNA display proteolysis,1008,1008,55,,True
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,Human,cDNA display proteolysis,2264,1216,65,,True
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Eukaryote,cDNA display proteolysis,2915,1213,66,,True
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,Prokaryote,Growth,2916,2916,159,,True
DYR_ECOLI_Thompson_2019,DYR_ECOLI,Prokaryote,Growth,2363,2363,159,,True
ENV_HV1B9_DuenasDecamp_2016,ENV_HV1B9,Virus,Growth,375,375,853,,True
ENV_HV1BR_Haddox_2016,ENV_HV1BR,Virus,Growth,12863,12863,861,,True
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,Prokaryote,FACS,1121,1121,60,,True
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,Human,cDNA display proteolysis,1960,1239,66,,True
ERBB2_HUMAN_Elazar_2016,ERBB2_HUMAN,Human,TOXCAT-Beta-lactamase (TbL) screen,326,326,1255,,True
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,Prokaryote,thermostability,2172,2172,212,,True
F7YBW8_MESOW_Aakre_2015,F7YBW8_MESOW,Prokaryote,Growth (antitoxin neutralization of ParE3),9192,37,93,,True
F7YBW8_MESOW_Ding_2023,F7YBW8_MESOW,Prokaryote,,7922,80,93,,True
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,Prokaryote,cDNA display proteolysis,1886,1219,72,,True
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,Human,cDNA display proteolysis,1237,1237,69,,True
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,Eukaryote,Growth,1195,1195,881,,True
GCN4_YEAST_Staller_2018,GCN4_YEAST,Eukaryote,FACS,2638,33,281,,True
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,Human,Growth,1154,1154,447,,True
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,Eukaryote,FACS,51714,1084,238,,True
GLPA_HUMAN_Elazar_2016,GLPA_HUMAN,Human,TOXCAT-Beta-lactamase (TbL) screen,245,245,150,,True
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,Human,Growth,63366,1034,217,,True
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,Virus,cDNA display proteolysis,1040,1040,55,,True
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Human,cDNA display proteolysis,5586,1244,72,,True
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,Human,Yeast complementation,5689,5689,361,,True
HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST,Eukaryote,Growth,496137,168,220,,True
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,Human,Resistance to statin inhibition,16853,16853,888,,True
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,Eukaryote,,2252,2252,709,,True
HSP82_YEAST_Flynn_2019,HSP82_YEAST,Eukaryote,,13294,13294,709,,True
HSP82_YEAST_Mishra_2016,HSP82_YEAST,Eukaryote,Growth,4323,4323,709,,True
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,Human,enzymatic activity,8570,8570,465,,True
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,Human,Growth,8396,8396,465,,True
I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,Virus,Growth,9462,9462,498,,True
IF1_ECOLI_Kelsic_2016,IF1_ECOLI,Prokaryote,Growth,1367,1367,72,,True
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Human,cDNA display proteolysis,1329,1329,71,,True
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW,Prokaryote,cDNA display proteolysis,1944,940,55,,True
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,Human,FACS,2339,2339,129,,True
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN,Human,Growth,2315,2315,129,,True
KCNH2_HUMAN_Kozek_2020,KCNH2_HUMAN,Human,Voltage,200,200,1159,,True
KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,Eukaryote,FACS,6963,6963,428,,True
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE,Eukaryote,FACS,6917,6917,428,,True
KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN,Prokaryote,Growth,4960,4960,264,,True
LGK_LIPST_Klesmith_2015,LGK_LIPST,Eukaryote,Growth,7890,7890,439,,True
LYAM1_HUMAN_Elazar_2016,LYAM1_HUMAN,Human,TOXCAT-Beta-lactamase (TbL) screen,359,359,372,,True
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,Eukaryote,cDNA display proteolysis,1429,762,41,,True
MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH,Eukaryote,cDNA display proteolysis,2116,1155,66,,True
MET_HUMAN_Estevam_2023,MET_HUMAN,Human,Growth,5393,5393,287,,True
MK01_HUMAN_Brenan_2016,MK01_HUMAN,Human,inhibitor resistance,6809,6809,360,,True
MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,Prokaryote,Growth,4007,4007,211,,True
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,Human,,16749,16749,934,,True
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,Prokaryote,Activity,1777,1777,330,,True
MTHR_HUMAN_Weile_2021,MTHR_HUMAN,Human,,12464,12464,656,,True
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,Eukaryote,cDNA display proteolysis,3297,947,61,,True
NCAP_I34A1_Doud_2015,NCAP_I34A1,Virus,Growth,9462,9462,498,,True
NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,Human,cDNA display proteolysis,2482,1149,61,,True
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,Human,Flow Cytometry Assay,637,637,1278,,True
NPC1_HUMAN_Erwood_2022_RPE1,NPC1_HUMAN,Human,Flow Cytometry Assay,63,63,1278,,True
NRAM_I33A0_Jiang_2016,NRAM_I33A0,Virus,Growth,298,298,453,,True
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,Human,"VAMP-seq, drug sensitivity",2844,2844,164,,True
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,Prokaryote,cDNA display proteolysis,2028,1306,69,,True
NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU,Prokaryote,cDNA display proteolysis,1380,1019,55,,True
OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,Human,cDNA display proteolysis,3197,1213,65,,True
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,Prokaryote,cDNA display proteolysis,1134,669,44,,True
OPSD_HUMAN_Wan_2019,OPSD_HUMAN,Human,Flow Cytometry Assay,165,165,348,,True
OTC_HUMAN_Lo_2023,OTC_HUMAN,Human,,1570,1570,354,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,Human,cDNA display proteolysis,635,635,42,,True
OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,Eukaryote,FACS,6396,6396,364,,True
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,Eukaryote,FACS,6769,6769,364,,True
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,Human,Growth,7467,7467,393,,True
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,Human,Growth,7467,7467,393,,True
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,Human,Growth,7467,7467,393,,True
P53_HUMAN_Kotler_2018,P53_HUMAN,Human,Growth,1048,1048,393,,True
P84126_THETH_Chan_2017,P84126_THETH,Prokaryote,Growth,1519,1519,254,,True
PA_I34A1_Wu_2015,PA_I34A1,Virus,Growth,1820,1820,716,,True
PABP_YEAST_Melamed_2013,PABP_YEAST,Eukaryote,Growth,37708,1187,577,,True
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,Human,phage fitness,5345,5345,402,,True
PHOT_CHLRE_Chen_2023,PHOT_CHLRE,Eukaryote,FACS,167529,2122,118,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN,Human,cDNA display proteolysis,802,686,39,,True
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,Human,cDNA display proteolysis,1824,938,52,,True
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,Human,cDNA display proteolysis,1301,1301,71,,True
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,Virus,Growth,15711,15711,2185,,True
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,Virus,Growth,16897,16897,900,,True
POLG_HCVJF_Qi_2014,POLG_HCVJF,Virus,Growth,1630,1630,3033,,True
POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV,Virus,cDNA display proteolysis,5130,995,53,,True
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,Human,FACS,9576,9576,505,,True
PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,Human,quantification and selection of GFP-positive cells by flow cytometry after DNA damage induced by daunorubicin,7889,7889,605,,True
PR40A_HUMAN_Tsuboyama_2023_1UZC,PR40A_HUMAN,Human,cDNA display proteolysis,2033,1163,63,,True
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,Human,FACS,8756,8756,465,,True
PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2,Prokaryote,cDNA display proteolysis,1579,1219,68,,True
PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN,Human,Protein stability,5083,5083,403,,True
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,Human,lipid phosphatase activity,7260,7260,403,,True
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,Virus,Growth,12729,12729,860,,True
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN,Human,,3344,3344,365,,True
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN,Human,,3344,3344,365,,True
Q59976_STRSQ_Romero_2015,Q59976_STRSQ,Prokaryote,Activity,2999,2999,501,,True
Q6WV12_9MAXI_Somermeyer_2022,Q6WV12_9MAXI,Eukaryote,FACS,31401,1141,222,,True
Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,Prokaryote,Growth,697,697,589,,True
Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,Prokaryote,Growth,747,747,571,,True
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,Eukaryote,FACS,33510,1201,238,,True
R1AB_SARS2_Flynn_2022,R1AB_SARS2,Virus,,5725,5725,306,,True
RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,Eukaryote,cDNA display proteolysis,912,774,54,,True
RAF1_HUMAN_Zinkus-Boltz_2019,RAF1_HUMAN,Human,binding assays,297,297,648,,True
RASH_HUMAN_Bandaru_2017,RASH_HUMAN,Human,activity,3134,3134,189,,True
RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,Human,,26012,3066,188,,True
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,Human,,24873,3084,188,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN,Human,cDNA display proteolysis,1332,975,52,,True
RCD1_ARATH_Tsuboyama_2023_5OAO,RCD1_ARATH,Eukaryote,cDNA display proteolysis,1261,988,57,,True
RCRO_LAMBD_Tsuboyama_2023_1ORC,RCRO_LAMBD,Virus,cDNA display proteolysis,2278,1195,63,,True
RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,Human,cDNA display proteolysis,1019,798,44,,True
RDRP_I33A0_Li_2023,RDRP_I33A0,Virus,Growth,12003,12003,757,,True
REV_HV1H2_Fernandes_2016,REV_HV1H2,Virus,Growth,2147,2147,116,,True
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,Prokaryote,cDNA display proteolysis,1326,969,55,,True
RL20_AQUAE_Tsuboyama_2023_1GYZ,RL20_AQUAE,Prokaryote,cDNA display proteolysis,1461,1121,59,,True
RL40A_YEAST_Mavor_2016,RL40A_YEAST,Eukaryote,Growth,1253,1253,128,,True
RL40A_YEAST_Roscoe_2013,RL40A_YEAST,Eukaryote,Growth,1195,1195,128,,True
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,Eukaryote,Binding,1380,1380,128,,True
RNC_ECOLI_Weeks_2023,RNC_ECOLI,Prokaryote,FACS,4277,4277,226,,True
RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434,Virus,cDNA display proteolysis,1459,1124,61,,True
RPC1_LAMBD_Li_2019_high-expression,RPC1_LAMBD,Virus,FACS,351,351,237,,True
RPC1_LAMBD_Li_2019_low-expression,RPC1_LAMBD,Virus,FACS,351,351,237,,True
RS15_GEOSE_Tsuboyama_2023_1A32,RS15_GEOSE,Prokaryote,cDNA display proteolysis,1195,1195,63,,True
S22A1_HUMAN_Yee_2023_abundance,S22A1_HUMAN,Human,FACS,9803,9803,553,,True
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN,Human,Growth,10094,10094,553,,True
SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE,Eukaryote,cDNA display proteolysis,965,679,43,,True
SBI_STAAM_Tsuboyama_2023_2JVG,SBI_STAAM,Prokaryote,cDNA display proteolysis,1025,1025,56,,True
SC6A4_HUMAN_Young_2021,SC6A4_HUMAN,Human,Fluorescence,11576,11576,630,,True
SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,Prokaryote,cDNA display proteolysis,1212,1212,70,,True
SCN5A_HUMAN_Glazer_2019,SCN5A_HUMAN,Human,,224,224,2016,,True
SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,Prokaryote,cDNA display proteolysis,2770,834,44,,True
SERC_HUMAN_Xie_2023,SERC_HUMAN,Human,,1914,1914,370,,True
SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN,Human,Survival (dosed with trametinib),10972,10972,582,,True
SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,Human,cDNA display proteolysis,1010,1010,57,,True
SPA_STAAU_Tsuboyama_2023_1LP1,SPA_STAAU,Prokaryote,cDNA display proteolysis,2105,1035,55,,True
SPG1_STRSG_Olson_2014,SPG1_STRSG,Prokaryote,Binding,536962,1045,448,,True
SPG1_STRSG_Wu_2016,SPG1_STRSG,Prokaryote,binding,149360,76,448,,True
SPG2_STRSG_Tsuboyama_2023_5UBS,SPG2_STRSG,Prokaryote,cDNA display proteolysis,1451,1029,56,,True
SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,Virus,Binding,3802,3802,1273,,True
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,Virus,Binding,3798,3798,1273,,True
SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK,Eukaryote,cDNA display proteolysis,3201,1051,60,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE,Eukaryote,cDNA display proteolysis,707,707,40,,True
SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH,Eukaryote,cDNA display proteolysis,1583,889,48,,True
SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,Human,cDNA display proteolysis,1556,1211,67,,True
SRC_HUMAN_Ahler_2019,SRC_HUMAN,Human,Growth,3372,3372,536,,True
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,Human,,3637,3637,536,,True
SRC_HUMAN_Nguyen_2022,SRC_HUMAN,Human,,3366,3366,536,,True
SUMO1_HUMAN_Weile_2017,SUMO1_HUMAN,Human,complementation,1700,1700,101,,True
SYUA_HUMAN_Newberry_2020,SYUA_HUMAN,Human,Growth,2497,2497,140,,True
TADBP_HUMAN_Bolognesi_2019,TADBP_HUMAN,Human,Growth,1196,1196,414,,True
TAT_HV1BR_Fernandes_2016,TAT_HV1BR,Virus,Growth,1577,1577,86,,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,TCRG1_MOUSE,Eukaryote,cDNA display proteolysis,1058,621,37,,True
THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,Eukaryote,cDNA display proteolysis,1279,656,41,,True
TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,Human,cDNA display proteolysis,1479,1118,59,,True
TPK1_HUMAN_Weile_2017,TPK1_HUMAN,Human,complementation,3181,3181,243,,True
TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,Human,Protein stability,3648,3648,245,,True
TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN,Human,Growth,562,562,635,,True
TRPC_SACS2_Chan_2017,TRPC_SACS2,Prokaryote,Growth,1519,1519,248,,True
TRPC_THEMA_Chan_2017,TRPC_THEMA,Prokaryote,Growth,1519,1519,252,,True
UBC9_HUMAN_Weile_2017,UBC9_HUMAN,Human,complementation,2563,2563,159,,True
UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBE4B_HUMAN,Human,cDNA display proteolysis,3622,1118,69,,True
UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,Eukaryote,Auto-ubiquitination,899,899,1173,,True
UBR5_HUMAN_Tsuboyama_2023_1I2T,UBR5_HUMAN,Human,cDNA display proteolysis,1453,1094,58,,True
VG08_BPP22_Tsuboyama_2023_2GP8,VG08_BPP22,Virus,cDNA display proteolysis,723,723,40,,True
VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK,Eukaryote,cDNA display proteolysis,2568,1202,65,,True
VKOR1_HUMAN_Chiasson_2020_abundance,VKOR1_HUMAN,Human,Fluorescence,2695,2695,163,,True
VKOR1_HUMAN_Chiasson_2020_activity,VKOR1_HUMAN,Human,enzymatic activity,697,697,163,,True
VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,Virus,cDNA display proteolysis,1047,1047,56,,True
YAIA_ECOLI_Tsuboyama_2023_2KVT,YAIA_ECOLI,Prokaryote,cDNA display proteolysis,1890,928,52,,True
YAP1_HUMAN_Araya_2012,YAP1_HUMAN,Human,Binding,10075,362,504,,True
YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,Prokaryote,cDNA display proteolysis,2300,714,39,,True
